"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000310526.1",206.84931503918,0.895955977222683,0.499844035109223,1.79247107955765,0.0730575377851859,0.277265222758591
"ENSG00000241860.8",4.50073616047957,1.93652623476909,1.431742479419,1.35256602538952,0.176194312407369,NA
"ENSG00000233750.3",2.24947276167784,0.859109762477466,1.68154275471842,0.510905690662219,0.60941709623351,NA
"ENSG00000308579.1",45.247750656258,0.619857649747306,0.9388225819268,0.660250042638658,0.509093383319473,0.757467045366919
"ENSG00000268903.1",2.65631697153104,2.88957862339226,1.75428837542664,1.6471514397908,0.0995269221969066,NA
"ENSG00000269981.1",89.8055058188611,0.570080855607259,0.73466309135411,0.77597590285433,0.437763214030351,0.705797829478671
"ENSG00000239906.1",13.642520910924,0.550307104333548,1.08406129486615,0.507634676138396,0.611709567625333,0.821607688326719
"ENSG00000310527.1",166.352648202382,1.28904292981637,0.681017485097883,1.89281913904325,0.0583819254529558,0.244169135916546
"ENSG00000292994.2",11.694723471498,0.153341596077334,0.98966104538506,0.154943550412931,0.876865819944794,0.955710022536135
"ENSG00000286448.2",2.77858416636034,0.52787094279962,1.56212707035671,0.337918055974206,0.735424940427742,NA
"ENSG00000290385.2",40.0192379220937,0.0934437106399879,0.572492435465625,0.16322261195292,0.870343163183185,0.953173645589985
"ENSG00000225880.7",219.546595786277,0.0592811710516977,0.542769189688411,0.109219852891299,0.913028114175958,0.967578085879152
"ENSG00000225972.1",926.439003858449,-7.17164566596174,2.08303318094374,-3.44288594707481,NA,NA
"ENSG00000225630.1",3890.97155615826,0.0689086228863306,0.379814830631886,0.181426888391086,0.85603251518881,0.948246965219686
"ENSG00000237973.1",902.427131275668,0.845782688424433,0.593894881057874,1.42412860491049,0.154409247311316,0.415366305838859
"ENSG00000229344.1",3.39975808347717,-0.576516981348243,1.42305485401357,-0.405126323642578,0.685384657929334,NA
"ENSG00000248527.1",17194.5099371086,0.273017578171818,0.484267918228996,0.563773828277257,0.572908065376769,0.798503300394657
"ENSG00000198744.5",8.88900947806598,0.743068808201307,0.870163837721742,0.853941264839051,0.3931375340765,0.670521038204191
"ENSG00000237491.11",40.6464425945602,1.40495682968632,0.725327756841703,1.936995815249,0.0527458549089712,0.230974501286499
"ENSG00000177757.3",3.05866879714046,-1.40092399146757,1.42475959238879,-0.98327044011596,0.325474354470007,NA
"ENSG00000228794.13",383.38325803221,-0.636567817692559,0.30490117735488,-2.08778405913351,0.0368173181591803,0.185223731530484
"ENSG00000297178.1",1.98828011212062,-0.0443090199630239,1.6921206729694,-0.0261854965020128,0.979109384031748,NA
"ENSG00000230368.3",1.59564683582679,-2.98148027787968,2.09501731409358,-1.42312918266722,0.154698710007228,NA
"ENSG00000272438.2",40.447180032904,-1.1566511610471,1.19016535407851,-0.971840725394539,NA,NA
"ENSG00000298603.1",1.54296214498179,-4.06220019871788,3.46076335950922,-1.17378733439144,0.240480218389607,NA
"ENSG00000223764.3",91.2074464718877,2.51947348611015,0.969536698922124,2.5986365332134,0.00935948162180264,0.0823939322175956
"ENSG00000187634.14",46.4893854221736,1.3628113398292,0.898752515037221,1.5163366077176,0.12943425949785,0.378536645225294
"ENSG00000188976.12",1213.32383725489,0.283582139796167,0.258651676247879,1.09638624388576,0.272909781360477,0.556342203544555
"ENSG00000187961.16",266.537435567811,0.749955268123514,0.382596258287026,1.96017407875665,0.0499754471133764,0.223971994035847
"ENSG00000187583.12",57.0786476556956,2.2217688082791,0.462294090548559,4.80596411181191,1.54007525688704e-06,0.000177580737912211
"ENSG00000272512.1",73.7315720621393,-0.404997837887686,0.700895067025759,-0.577829488237505,0.563379244429248,0.792016918433619
"ENSG00000188290.12",239.727168008061,0.32695049109326,0.34445177797784,0.94919089404234,0.34252353200931,0.624268861436508
"ENSG00000303623.1",7.69418547071264,0.748758957831324,0.879545644573962,0.851301990352088,0.394601619571462,0.671700946786852
"ENSG00000187608.11",362.280580775023,-0.81240110605011,0.343101658931756,-2.36781456720295,0.0178935016236303,0.12125938814407
"ENSG00000224969.1",5.64765979606322,-1.0523076598668,1.14721083056128,-0.917274865119565,0.358998624955927,0.639663181257859
"ENSG00000188157.16",4250.5823139032,-0.413827728269959,0.281578702768095,-1.46966984435177,0.141651193759644,0.396574950220692
"ENSG00000291156.2",18.3267252331943,1.48897297100153,0.661446147395985,2.25108722284254,0.0243800135213149,0.144666095231469
"ENSG00000273443.2",6.63624198390767,1.08437457215203,1.02926336206112,1.05354432317551,0.292091591421501,0.574912820102742
"ENSG00000217801.13",11.2687993876596,1.4791735352098,0.979183385307479,1.51061951969836,0.130885417802843,0.380742494536516
"ENSG00000304119.1",21.0558269247827,1.66564186563831,0.786123660604339,2.11880388431234,0.0341070443560821,0.176529489959495
"ENSG00000237330.3",18.6641838585099,0.170871644160567,0.740156090866148,0.23085893133786,0.817424396966207,0.928499589762218
"ENSG00000131591.19",400.329182438685,0.449347642899238,0.400410450032339,1.12221757165166,0.261769943217351,0.543731138882424
"ENSG00000299943.1",2.27937162770325,0.00864675117307275,1.56047887576454,0.00554108825653686,0.9955788738542,NA
"ENSG00000223823.1",8.09585596402356,2.64475123979216,1.1961611398442,2.21103257052527,0.0270335816759026,0.153186797572268
