"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000187583.12",57.0786476556956,2.2217688082791,0.462294090548559,4.80596411181191,1.54007525688704e-06,0.000177580737912211,"PLEKHN1"
"ENSG00000272455.1",44.1313190913709,1.83347645420658,0.57750293569199,3.17483486384294,0.00149921794814186,0.02512860119654,NA
"ENSG00000235098.10",550.498834583137,1.49735325885848,0.517817358542909,2.89166292739181,0.00383208839837197,0.0465490208517963,"ANKRD65"
"ENSG00000225285.2",229.372031350471,2.25837953066905,0.719788522385809,3.13755979767979,0.00170360519985523,0.0272981319244958,"LINC01770"
"ENSG00000308181.1",8.86002201474952,4.04504559681438,1.3769012412224,2.93778920064247,0.00330561702810546,0.0421861447869343,NA
"ENSG00000142606.16",29.7003359761859,-1.56133904514709,0.487859458389521,-3.20038695222031,0.00137243196127832,0.0235189124596657,"MMEL1"
"ENSG00000130762.16",499.03161252689,1.41954605552872,0.364571799038589,3.89373522382203,9.87123919324712e-05,0.00360677475363453,"ARHGEF16"
"ENSG00000162591.18",3582.31660953057,1.24100210907588,0.399357898121658,3.10749359136959,0.00188681076300727,0.0292334637190849,"MEGF6"
"ENSG00000236423.9",14.1687537020667,3.15199167667473,0.940837635263666,3.35019726946977,0.000807540267754147,0.0160988870407356,"LINC01134"
"ENSG00000158286.14",730.492172471343,1.73211202376789,0.510054049855348,3.39593818392211,0.000683938038674795,0.0143320933656912,"RNF207"
"ENSG00000069812.12",34.8960236121167,-1.6746236671488,0.540104662814422,-3.10055398970734,0.00193158996464291,0.0296451063436219,"HES2"
"ENSG00000215788.12",485.876924949014,1.13762368120282,0.346475179389486,3.28342042626948,0.00102555592916563,0.0190462997980524,"TNFRSF25"
"ENSG00000049249.11",31.8404611407518,3.25765949267573,0.728959110155132,4.4689193773605,7.86157530420979e-06,0.0005726218967303,"TNFRSF9"
"ENSG00000228526.9",491.39573685574,1.4229461717853,0.441701199824676,3.22151303267936,0.00127515662824518,0.022284648889348,"MIR34AHG"
"ENSG00000234546.6",105.613037068472,1.83965193554689,0.543101940737119,3.38730502978878,0.000705828651440677,0.0146702393441646,"LNCTAM34A"
"ENSG00000171819.5",55.5839309178675,-2.14021215248351,0.72325061028378,-2.95915706402759,0.00308481832099734,0.0405872942623882,"ANGPTL7"
"ENSG00000162493.18",973.125082254047,-1.5946049587082,0.462134492336572,-3.45052140697356,0.000559504792721955,0.0123683978552967,"PDPN"
"ENSG00000189337.17",388.413560467535,-1.18166270624385,0.328803355669233,-3.59382800044344,0.00032585498773015,0.00854164904081693,"KAZN"
"ENSG00000173641.19",201.674337842164,-1.3110306699962,0.298532152071127,-4.39158951858505,1.12524988417948e-05,0.000744548584858712,"HSPB7"
"ENSG00000227959.3",27.0160768892442,1.77499078324553,0.578229753870308,3.06969811111389,0.00214275240785676,0.0315784179516256,NA
"ENSG00000142632.18",612.091147249029,2.05109697311601,0.439434205577364,4.66758606199332,3.04759108571178e-06,0.000284268394523344,"ARHGEF19"
